WORD,MPQA,TYPE,LEN,POS,STEM,P,PP,MP
agonizingly,-1.0,strongsubj,1,anypos,n,,negative,
agony,-1.0,strongsubj,1,noun,n,,negative,
agree,1.0,strongsubj,1,verb,y,,positive,
agreeability,1.0,strongsubj,1,anypos,y,,positive,
agreeable,1.0,weaksubj,1,adj,n,,positive,
agreeable,1.0,strongsubj,1,anypos,y,,positive,
agreeableness,1.0,strongsubj,1,anypos,y,,positive,
agreeably,1.0,strongsubj,1,anypos,y,,positive,
agreement,1.0,weaksubj,1,adj,n,,positive,
agreement,1.0,weaksubj,1,noun,n,,positive,
aha,0.0,strongsubj,1,anypos,y,,neutral,
ail,-1.0,weaksubj,1,noun,n,,negative,
ail,-1.0,weaksubj,1,verb,y,,negative,
ailment,-1.0,weaksubj,1,noun,n,,negative,
aimless,-1.0,strongsubj,1,adj,n,,negative,
air,0.0,strongsubj,1,verb,y,,neutral,
airs,-1.0,weaksubj,1,adj,n,,negative,
airs,-1.0,weaksubj,1,noun,n,,negative,
alarm,-1.0,weaksubj,1,adj,n,,negative,
alarm,-1.0,weaksubj,1,verb,y,,negative,
alarmed,-1.0,strongsubj,1,adj,n,,negative,
alarming,-1.0,strongsubj,1,adj,n,,negative,
alarmingly,-1.0,strongsubj,1,anypos,n,,negative,
alas,-1.0,strongsubj,1,anypos,y,,negative,
alert,0.0,weaksubj,1,adj,n,,neutral,
alienate,-1.0,weaksubj,1,verb,y,,negative,
alienated,-1.0,weaksubj,1,adj,n,,negative,
alienation,-1.0,weaksubj,1,noun,n,,negative,
all-time,0.0,weaksubj,1,adj,n,,neutral,
all-time,0.0,weaksubj,1,noun,n,,neutral,
allay,1.0,strongsubj,1,verb,y,,positive,
allegation,-1.0,strongsubj,1,anypos,n,,negative,
allegations,-1.0,strongsubj,1,adj,n,,negative,
allege,-1.0,weaksubj,1,verb,n,,negative,
allegations,-1.0,strongsubj,1,noun,n,,negative,
allegorize,0.0,strongsubj,1,verb,y,,neutral,
allergic,-1.0,weaksubj,1,adj,n,,negative,
alleviate,1.0,weaksubj,1,verb,y,,positive,
alliance,0.0,strongsubj,1,anypos,n,,neutral,
alliances,0.0,strongsubj,1,adj,n,,neutral,
alliances,0.0,strongsubj,1,noun,n,,neutral,
allow,1.0,weaksubj,1,verb,y,,positive,
allowable,1.0,weaksubj,1,adj,n,,positive,
allure,1.0,strongsubj,1,verb,y,,positive,
allure,1.0,strongsubj,1,noun,n,,positive,
alluring,1.0,strongsubj,1,anypos,n,,positive,
alluringly,1.0,strongsubj,1,anypos,n,,positive,
allusion,0.0,strongsubj,1,adj,n,,neutral,
allusion,0.0,strongsubj,1,noun,n,,neutral,
allusions,0.0,strongsubj,1,anypos,n,,neutral,
ally,1.0,strongsubj,1,noun,y,,positive,
almighty,1.0,strongsubj,1,adj,n,,positive,
aloof,-1.0,strongsubj,1,adj,n,,negative,
altercation,-1.0,weaksubj,1,noun,n,,negative,
although,-1.0,weaksubj,1,anypos,y,,negative,
altogether,0.0,strongsubj,1,anypos,n,,neutral,
altruist,1.0,strongsubj,1,noun,n,,positive,
altruistic,1.0,strongsubj,1,adj,n,,positive,
altruistically,1.0,strongsubj,1,adj,n,,positive,
amaze,1.0,strongsubj,1,verb,y,,positive,
amazed,1.0,strongsubj,1,adj,n,,positive,
amazement,1.0,strongsubj,1,noun,n,,positive,
amazing,1.0,strongsubj,1,adj,n,,positive,
amazing,1.0,strongsubj,1,anypos,y,,positive,
amazingly,1.0,strongsubj,1,anypos,n,,positive,
ambiguous,-1.0,strongsubj,1,adj,n,,negative,
ambiguity,-1.0,strongsubj,1,noun,n,,negative,
ambitious,1.0,weaksubj,1,adj,n,,positive,
ambitious,1.0,weaksubj,1,noun,n,,positive,
ambitiously,1.0,weaksubj,1,anypos,y,,positive,
ambivalence,-1.0,strongsubj,1,anypos,y,,negative,
ambivalent,-1.0,strongsubj,1,adj,n,,negative,
ambivalent,-1.0,strongsubj,1,noun,n,,negative,
ambush,-1.0,weaksubj,1,noun,n,,negative,
ambush,-1.0,weaksubj,1,verb,y,,negative,
ameliorate,1.0,strongsubj,1,verb,y,,positive,
amenable,1.0,strongsubj,1,adj,n,,positive,
amenity,1.0,weaksubj,1,noun,n,,positive,
amiability,1.0,strongsubj,1,noun,n,,positive,
amiabily,1.0,strongsubj,1,adverb,n,,positive,
amiable,1.0,strongsubj,1,adj,n,,positive,
amicability,1.0,strongsubj,1,noun,n,,positive,
amicable,1.0,strongsubj,1,adj,n,,positive,
amicably,1.0,strongsubj,1,adverb,n,,positive,
amiss,-1.0,strongsubj,1,anypos,n,,negative,
amity,1.0,weaksubj,1,adj,n,,positive,
amity,1.0,weaksubj,1,noun,n,,positive,
amnesty,1.0,weaksubj,1,noun,n,,positive,
amour,1.0,strongsubj,1,noun,n,,positive,
ample,1.0,weaksubj,1,adj,n,,positive,
amply,1.0,weaksubj,1,adverb,n,,positive,
amplify,0.0,weaksubj,1,verb,y,,neutral,
amputate,-1.0,weaksubj,1,verb,y,,negative,
amuse,1.0,strongsubj,1,verb,y,,positive,
amusement,1.0,strongsubj,1,adj,n,,positive,
amusement,1.0,strongsubj,1,noun,n,,positive,
amusing,1.0,strongsubj,1,adj,n,,positive,
amusing,1.0,strongsubj,1,anypos,y,,positive,
amusingly,1.0,strongsubj,1,anypos,y,,positive,
analytical,0.0,weaksubj,1,adj,n,,neutral,
anarchism,-1.0,strongsubj,1,noun,n,,negative,
anarchist,-1.0,strongsubj,1,noun,n,,negative,
anarchistic,-1.0,strongsubj,1,adj,n,,negative,
anarchy,-1.0,strongsubj,1,noun,n,,negative,
anemic,-1.0,weaksubj,1,adj,n,,negative,
angel,1.0,weaksubj,1,noun,n,,positive,
angelic,1.0,strongsubj,1,adj,n,,positive,
anger,-1.0,strongsubj,1,adj,n,,negative,
anger,-1.0,strongsubj,1,noun,n,,negative,
anger,-1.0,strongsubj,1,verb,y,,negative,
angrily,-1.0,strongsubj,1,anypos,y,,negative,
angriness,-1.0,strongsubj,1,anypos,y,,negative,
angry,-1.0,strongsubj,1,adj,n,,negative,
anguish,-1.0,strongsubj,1,noun,n,,negative,
anguish,-1.0,strongsubj,1,verb,y,,negative,
annihilate,-1.0,strongsubj,1,verb,y,,negative,
